name,steam_appid,genres,release_date
RACE - The WTCC Game,4230,['Racing'],2006-11-24 00:00:00
RACE: Caterham Expansion,4290,['Racing'],2007-06-22 00:00:00
RoboBlitz,4300,"['Action', 'Indie']",2006-11-07 00:00:00
Silverfall,4420,['RPG'],2007-03-20 00:00:00
City Life 2008,4460,"['Strategy', 'Simulation']",2008-09-29 00:00:00
Silverfall: Earth Awakening,4470,['RPG'],2008-07-18 00:00:00
S.T.A.L.K.E.R.: Shadow of Chernobyl,4500,"['RPG', 'Action']",2007-03-20 00:00:00
Full Spectrum Warrior,4520,"['Action', 'Strategy']",2007-07-17 00:00:00
Full Spectrum Warrior: Ten Hammers,4530,"['Action', 'Strategy']",2007-07-17 00:00:00
Company of Heroes - Legacy Edition,4560,"['Action', 'Strategy']",2007-07-17 00:00:00
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,['Strategy'],2007-08-07 00:00:00
"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,['Strategy'],2007-08-07 00:00:00
Total War: MEDIEVAL II – Definitive Edition,4700,['Strategy'],2006-11-15 00:00:00
Condemned: Criminal Origins,4720,['Action'],2012-10-29 00:00:00
Medieval II: Total War™ Kingdoms,4780,['Strategy'],2007-08-28 00:00:00
Heroes of Annihilated Empires,4800,['Strategy'],2006-11-22 00:00:00
Cossacks: Back to War,4850,['Strategy'],2010-09-02 00:00:00
Cossacks: Art of War,4870,['Strategy'],2011-08-26 00:00:00
Cossacks: European Wars,4880,['Strategy'],2011-08-26 00:00:00
Cossacks II: Battle for Europe,4890,['Strategy'],2011-08-26 00:00:00
Natural Selection 2,4920,"['Action', 'Indie', 'Strategy']",2012-10-30 00:00:00
STAR WARS™ Republic Commando™,6000,['Action'],2009-07-08 00:00:00
Indiana Jones® and the Fate of Atlantis™,6010,['Adventure'],2009-07-08 00:00:00
STAR WARS™ Jedi Knight - Jedi Academy™,6020,['Action'],2009-09-16 00:00:00
STAR WARS™ Jedi Knight II - Jedi Outcast™,6030,['Action'],2009-09-16 00:00:00
The Dig®,6040,['Adventure'],2009-07-08 00:00:00
"Star Wars: Battlefront 2 (Classic, 2005)",6060,['Action'],2009-07-08 00:00:00
Thrillville®: Off the Rails™,6080,"['Strategy', 'Simulation', 'Action', 'Adventure', 'Racing']",2009-07-08 00:00:00
Armed and Dangerous®,6090,['Action'],2009-07-08 00:00:00
Shank,6120,"['Action', 'Indie']",2010-10-25 00:00:00
Ghost Master®,6200,['Strategy'],2006-12-21 00:00:00
Vegas: Make It Big™,6210,['Strategy'],2006-12-21 00:00:00
FlatOut,6220,['Racing'],2007-02-02 00:00:00
Making History: The Calm & the Storm,6250,"['Action', 'Strategy']",2007-03-13 00:00:00
Ducati World Championship,6270,['Racing'],2007-09-21 00:00:00
Dreamfall: The Longest Journey,6300,"['RPG', 'Adventure']",2007-01-12 00:00:00
The Longest Journey,6310,"['RPG', 'Action', 'Adventure']",2007-05-01 00:00:00
Joint Task Force,6400,"['Action', 'Strategy']",2007-03-27 00:00:00
Nexus - The Jupiter Incident,6420,"['Strategy', 'Indie', 'Simulation']",2007-07-03 00:00:00
Lost Planet™: Extreme Condition,6510,"['Action', 'Adventure']",2007-06-26 00:00:00
Devil May Cry® 3 Special Edition,6550,['Action'],2007-06-12 00:00:00
Bullet Candy,6600,"['Indie', 'Casual']",2007-02-14 00:00:00
Commandos: Behind Enemy Lines,6800,['Action'],2007-03-15 00:00:00
Commandos: Beyond the Call of Duty,6810,['Action'],2007-03-15 00:00:00
Commandos 2: Men of Courage,6830,['Strategy'],2007-03-15 00:00:00
Commandos 3: Destination Berlin,6840,['Action'],2007-03-15 00:00:00
Hitman 2: Silent Assassin,6850,['Action'],2007-03-15 00:00:00
Hitman: Blood Money,6860,['Action'],2007-03-15 00:00:00
Battlestations: Midway,6870,['Action'],2007-03-15 00:00:00
Just Cause,6880,['Action'],2007-03-15 00:00:00
Hitman: Codename 47,6900,['Action'],2007-03-15 00:00:00
Deus Ex: Game of the Year Edition,6910,['Action'],2007-03-29 00:00:00
Deus Ex: Invisible War,6920,['Action'],2007-03-29 00:00:00
Thief: Deadly Shadows,6980,['Action'],2007-03-29 00:00:00
Tomb Raider: Legend,7000,"['Action', 'Adventure']",2007-03-29 00:00:00
Project: Snowblind,7010,['Action'],2007-03-29 00:00:00
Rogue Trooper,7020,['Action'],2007-03-29 00:00:00
Jade Empire™: Special Edition,7110,['RPG'],2007-02-27 00:00:00
Trackmania United Forever,7200,['Racing'],2008-04-16 00:00:00
"Runaway, A Road Adventure",7210,['Adventure'],2007-03-14 00:00:00
"Runaway, The Dream of The Turtle",7220,['Adventure'],2007-03-14 00:00:00
Loki,7260,['RPG'],2007-11-05 00:00:00
Azada,7340,"['Indie', 'Casual']",2010-04-21 00:00:00
